sentence_id_1,sentence_id_2
B0765010p,S0023772007p
B0167001p,S0019892005p
B0271009p,S0023656005p
B0758001p,S0023870001p
B0765004p,S0023870009p
B0217009p,S0070131008p
B0110005p,S0053175006p
B0360001p,S0023870001p
B0507008p,S0020883007p
B0834001sc,S0020373002sc
B0085003p,S0023484003p
B0214004p,S0023992005p
B0691002sc,S0021184002sc
B0709006p,S0017329001p
B0159006p,S0053175008p
B0111006p,S0024055003p
B0306001sc,S0010723002sc
B0109006p,S0023231009p
B0016009p,S0051714006p
B1050007p,S0018730006p
B0086001p,S0016500007p
B0166002sc,S0022921002sc
B0039007p,S0080003011p
B0345008p,S0022920005p
B1196002p,S0019626009p
B0780004p,S0110101007p
B0170006p,S0024095006p
B0019004p,S0051984003p
B0661002p,S0023982001p
B0235006p,S0051812003p
B0769001p,S0023515007p
B0161005p,S0021058005p
B0717001p,S0023905004p
B0366008p,S0023321003p
B0773003sc,S0053377002sc
B1018003sc,S0018445003sc
B0133006p,S0020393008p
B0278002p,S0019925009p
B0750003p,S0016664003p
B0504001sc,S0023097003sc
B0143005p,S0020222001p
B0115001sc,S0022903001sc
B0178004p,S0022602008p
B1188002sc,S0052009002sc
B0075002p,S0023475006p
B0174006p,S0024348006p
B0101002p,S0080524006p
B0852002p,S0024186007p
B1001007p,S0010918004p
B0177008p,S0051812001p
B0518009p,S0022583006p
B0520001p,S0022955007p
B0167006p,S0051998008p
B0177003p,S0016562008p
B0294007p,S0022958003p
B0146007p,S0023523002p
B0734003p,S0023470001p
B1139004p,S0051734006p
B0755005p,S0080524005p
B0183005p,S0021265003p
B0677010p,S0023880008p
B0071003p,S0051734002p
B0754009p,S0023735001p
B0882001p,S0023307004p
B0234007p,S0023400006p
B0208009p,S0017315002p
B0212009p,S0024402006p
B0348006p,S0023850008p
B0652002p,S0016500007p
B0091005p,S0010911009p
B0206001p,S0052060004p
B0252002p,S0023850008p
B0305001p,S0022933009p
B0205001p,S0023470001p
B0534001p,S0052901005p
B0419012p,S0019356003p
B0223002p,S0018436001p
B0158005p,S0080524006p
B0695001p,S0051734006p
B0284007p,S0020359006p
B0709008p,S0023618007p
B1113005p,S0017145003p
B0533001p,S0024293002p
B0131006p,S0080010003p
B0169003p,S0080524006p
B0879002sc,S0022948003sc
B0244002sc,S0023560002sc
B0523005p,S0021102008p
B0189002p,S0024064001p
B0781001p,S0016607010p
B0719005p,S0080012009p
B0769001p,S0023855005p
B1163004p,S0022669008p
B0174006p,S0022906003p
B0379007p,S0017077007p
B0497006p,S0022588009p
B0524004p,S0004648007p
B0188003p,S0022859008p
B0362009p,S0023870009p
B0272005p,S0020495006p
B0383001sc,S0001015002sc
B0737007p,S0024064001p
B0351002sc,S0022918002sc
B0091003p,S0016500007p
B0223003p,S0017386007p
B1196003p,S0023870009p
B0207002sc,S0024343001sc
B0278012p,S0017767007p
B1139001p,S0020977006p
B0533003sc,S0020341002sc
B0228001sc,S0024312003sc
B0365003p,S0018353001p
B0761004sc,S0023560002sc
B0350006p,S0024326002p
B0231005p,S0019925009p
B0969001p,S0024417008p
B0210004p,S0023383007p
B0271001p,S0017767007p
B0169002sc,S0051873003sc
B0529004p,S0022864008p
B0986002p,S0017943008p
B0207002p,S0019575001p
B0017001sc,S0017635003sc
B0506007p,S0023216003p
B1139006p,S0010911009p
B0168007p,S0024304005p
B0774001p,S0022588004p
B0879002sc,S0070439002sc
B0245009p,S0022593006p
B0773003p,S0024297008p
B0734004p,S0010918007p
B0081001sc,S0052287002sc
B0523003p,S0051653008p
B0687002sc,S0024320002sc
B0091004p,S0021257007p
B0031006p,S0052567004p
B0211001sc,S0024436002sc
B0498003p,S0080012011p
B0512003sc,S0016793003sc
B0778005p,S0052273004p
B0169006p,S0022722002p
B0205001p,S0053175006p
B0234007p,S0023104008p
B0657004p,S0051580007p
B0660001p,S0051984003p
B0232003p,S0024360006p
B0543004p,S0022917004p
B0106001p,S0020222009p
B0124003p,S0019340007p
B0313006p,S0023488010p
B0827002p,S0022903005p
B0174006p,S0020358003p
B1163005p,S0051734007p
B0778005p,S0016414006p
B0272003p,S0020322001p
B0535004p,S0024064001p
B0291010p,S0024073009p
B0498003p,S0024268005p
B0095005p,S0023854005p
B0494008p,S0018573004p
B0224003p,S0020936003p
B0523003p,S0021102008p
B1001007p,S0022948009p
B0881005p,S0022902001p
B0492002p,S0080010003p
B0084002sc,S0022903001sc
B0481005p,S0051721004p
B0258001p,S0018451006p
B0803005p,S0004648006p
B0512005p,S0017384006p
B0183005p,S0022875007p
B0259003p,S0017427002p
B0193007p,S0053291007p
B0305009p,S0023656005p
B0518001p,S0021113007p
B0082001p,S0024409007p
B0359002p,S0018797008p
B0214008p,S0053362007p
B0514008p,S0024073009p
B0547006p,S0019872009p
B0151002p,S0023742006p
B0769002sc,S0022903001sc
B0775005p,S0024409007p
B0767004p,S0020332007p
B0537001p,S0001002006p
B0643003p,S0070416008p
B0597005p,S0023822001p
B0172001sc,S0051979001sc
B0741007p,S0051734007p
B0354006p,S0051759005p
B0282001p,S0023742006p
B0370002p,S0020404012p
B0314001p,S0052060004p
B0361003p,S0052060004p
B0253005p,S0020241001p
B0748004p,S0021271005p
B0350001p,S0018119006p
B1070003p,S0051812003p
B0273005p,S0023933008p
B0165001p,S0051576005p
B0746004p,S0023578001p
B0165003p,S0023742006p
B0272005p,S0018558004p
B0383004p,S0016948009p
B0094006p,S0023913006p
B0699001p,S0022902005p
B0506001sc,S0019211003sc
B0922002sc,S0000892002sc
B0712011p,S0080524005p
B0510003p,S0022646008p
B0241003p,S0020686007p
B0778006p,S0022971005p
B0358003sc,S0022864001sc
B0779002p,S0018771009p
B0783002p,S0051753003p
B0184002p,S0004648007p
B0205005p,S0070517007p
B0241006p,S0017810009p
B0294006p,S0022576003p
B0285006p,S0051734006p
B0271001p,S0024180005p
B0545004p,S0022864008p
B0547006p,S0022859008p
B0971010p,S0017197008p
B0539003p,S0021226004p
B0762001p,S0023467007p
B0498005p,S0051674007p
B0797007p,S0020165007p
B0775001p,S0023982006p
B0236003p,S0023740005p
B0513001p,S0023251001p
B0170005p,S0017340003p
B0016010p,S0022825001p
B0406010p,S0023742001p
B0381008p,S0052120003p
B0540010p,S0003424006p
B0699010p,S0023982006p
B0092004p,S0016480003p
B0368001p,S0022630008p
B0086002p,S0019552008p
B0544006p,S0023406006p
B0713003p,S0023807005p
B0379006p,S0022764009p
B0117001sc,S0018887003sc
B0761002p,S0019872009p
B0734004p,S0021271005p
B0518009p,S0051856004p
B0279006p,S0051734007p
B0371001p,S0001012010p
B0734008p,S0023982001p
B0783012p,S0004191003p
B0795009p,S0024343007p
B0519004p,S0000892003p
B0511002p,S0020915008p
B0860003p,S0020983005p
B0798001p,S0023523001p
B0177007p,S0052792008p
B0364002p,S0023726004p
B0214003p,S0021102008p
B0703009p,S0051933005p
B0161001p,S0022646008p
B1191002p,S0023850008p
B0368001p,S0023019007p
B0165006p,S0020998010p
B0097006p,S0000925001p
B0784002p,S0023798005p
B0159002p,S0022747004p
B0190007p,S0022920005p
B0230009p,S0023261010p
B0955003p,S0018730006p
B0305010p,S0080564003p
B0016004p,S0023740005p
B0242006p,S0020222009p
B0751009p,S0022748005p
B0689008p,S0019575005p
B0660004p,S0020899006p
B0696008p,S0051674003p
B0270005p,S0024303005p
B0325005sc,S0019465002sc
B0699005p,S0051998007p
B0357003p,S0053377003p
B1085007p,S0052529007p
B0379007p,S0020490002p
B0260001p,S0020359007p
B0545001p,S0021329004p
B0349002p,S0053085006p
B0751005p,S0051696007p
B0235005p,S0018448004p
B0137003p,S0023738005p
B0190001sc,S0020191002sc
B0129003p,S0023618005p
B0262001p,S0051984003p
B0530007p,S0004948006p
B0709006p,S0003514009p
B0207005p,S0019392003p
B0768006p,S0053569003p
B0737003sc,S0023860001sc
B0709007p,S0022634006p
B0253007p,S0023261010p
B0179005sc,S0023850002sc
B1001004p,S0080524005p
B0272002sc,S0019746002sc
B1162001p,S0018350003p
B0754009p,S0004038006p
B0231001sc,S0020260002sc
B0541004p,S0020358002p
B0223013p,S0051856004p
B0258002sc,S0023742002sc
B0579010p,S0019822003p
B0223012p,S0024200006p
B0362009p,S0016607009p
B0380008p,S0024331001p
B0736001p,S0021058005p
B0776004p,S0051734006p
B0299002p,S0022903005p
B0246001sc,S0022933001sc
B0209006p,S0023466005p
B0834001sc,S0023905002sc
B0677009p,S0010797005p
B0580002p,S0019907007p
B0358004p,S0022795004p
B0037004p,S0021233002p
B0751005sc,S0004804002sc
B0712009p,S0080010003p
B0030001p,S0022596006p
B0748004p,S0020901005p
B0194007p,S0019526001p
B0252005p,S0024356008p
B0365006p,S0010843008p
B0178005p,S0053258002p
B0691005p,S0023216003p
B0758001p,S0020882004p
B0768002sc,S0017352001sc
B0125001p,B0167004p
B0242001p,S0052838007p
B0201005p,B0302002p
B0519001p,S0024320002p
B0767007p,S0024360006p
B0542001p,S0018277009p
B0006007p,S0010919006p
B0378002p,B0784002p
B0135005p,S0023848009p
B0240010p,B0784003p
B0257008p,B0513006p
B1018006p,S0022948006p
B0088006p,B0262007p
B0032006p,S0023652006p
B0230003p,B0653009p
B0223010p,B0258008p
B0361004p,B0505009p
B0503012p,S0024417008p
B0133001p,B0134003p
B0081001p,B0131003p
B0127002p,B0305003p
B0091001p,B0719004p
B0137002sc,B0302002sc
B0256005p,B0302005p
B0351005p,S0016414009p
B0201001p,B0201008p
B0205007p,B0754008p
B0223001p,B0362001p
B0223007p,B0784008p
B0217009p,B0800003p
B0504003p,B0511004p
B0318001p,B0763004p
B0316010p,B0347001p
B0709011p,S0024297008p
B0354006p,S0023576001p
B0305010p,B0753003p
B0100003p,B0171006p
B0129006p,B0867008p
B0094004p,B0302004p
B0494008p,B0969006p
B0366007p,S0022899012p
B0346009p,B0542002p
B0019001p,B0024004p
Statement 1,Statement 2
B0138002p,B0531005p
B0770001sc,B1139001sc
B0141003p,B0604002p
B0233005p,B0301004p
B0524002p,B1116003p
B0178004p,B0660006p
B0710010p,B0711005p
B0084006p,B0652005p
B0191004p,B0657004p
B0841003p,B1207007p
B0022003p,B0866001p
B0201005p,B0531002p
B0136002p,B0261004p
B0231004p,B0299002p
B0205002p,B0691012p
B0106005p,B0111001p
B0353006p,B0773002p
B0764004p,B0789004p
B0268009p,B0269002p
B0269001sc,B0537003sc
B0544006p,B0769003p
B0084004p,B0258005p
B0310002p,B0783009p
B0257008p,B0782006p
B0272003p,B0540010p
B0381010p,B0659005p
B0278011p,B0769009p
B0174009p,B0291010p
B0534005p,B0763003p
B0022004p,B0261005p
B0083006p,B0178006p
B0092002p,B0106002p
B0183006p,B0195008p
B0093003p,B0732003p
B0349003p,B0545008p
B0125008p,B0783002p
B0177008p,B0191007p
B0188003p,B0205008p
B0223013p,B0302002p
B0305009p,B0306006p
B0174006p,B0265004p
B0179006sc,B0381001sc
B0257008p,B0278006p
B0197001p,B0197008p
B0524002p,B0786001p
B0541005p,B0795009p
B0190006p,B0206002p
B0136004p,B0347003p
B0128001p,B0786001p
B0177001sc,B0757002sc
B0190006p,B0358007p
B0286007p,B0769003p
B0172006p,B0542007p
B0137003p,B0148007p
B0201008p,B0230007p
B0169004p,B0271001p
B0159003p,B0287003p
B0116008p,B0520008p
B0516003p,B0773002p
B0163001p,B0696001p
B0170005p,B0758001p
B0084001sc,B0305001sc
B0346003p,B0362005p
B0872008p,B1208001p
B0223009p,B0545001p
B0084001p,B0106001p
B0091001p,B0238006p
B0347002p,B0530007p
B0814007p,B0844003p
B0706005p,B0746004p
B0092001p,B0234003p
B0265001p,B0362001p
B0519007p,B0763001p
B0178004p,B0732002p
B0754006p,B0776006p
B0191004p,B0272006p
B0244007p,B0696008p
B0188003p,B0272001p
B0178002p,B0773007p
B0532008p,B0709009p
B0126001p,B0467001p
B0178007p,B0316010p
B0252006p,B0597002p
B0256006p,B0312003p
B0194008p,B0238007p
B0732001sc,S0003424001sc
B0122002sc,B0653002sc
B0761006p,S0016801006p
B0082006p,B0765009p
B0083006p,B0785007p
B0553007p,B0601005p
B0020005p,B0124002p
B0212003p,B0784007p
B0287002p,B0749004p
B0177003p,B0325008p
B0780002p,B0785006p
B0197008p,B0227004p
B0022009p,B0133004p
B0407004p,B0659006p
B0132002p,B0868002p
B0277002p,B0302005p
B0272003p,B0659007p
B0084009p,B0110002p
B0305001p,B0927006p
B0164002sc,B0180003sc
B0106005p,B0115003p
B0202002p,B0380003p
B0345009p,B0514008p
B0130002p,B0763001p
B0169004p,B0521003p
B0705001sc,B1220001sc
B0545005p,B0765010p
B0037011p,B0143008p
B0109008p,B0171007p
B0084004p,B0091008p
B0206008p,B0544006p
B0265003p,B0783012p
B0176001sc,B0866001sc
B0129001sc,B0652001sc
B0022003p,B0261007p
B0130007p,B0262005p
B0659006p,B0710003p
B0129001p,B0159002p
B0192004p,B0260003p
B0256002p,B0660005p
B0134003p,B0257008p
B0045004p,B0191004p
B0135004p,B0138007p
B0269010p,B0709008p
B0514008p,B0518009p
B0710006p,B0773004p
B0174005p,B0214007p
B0118009p,B0182002p
B0351004p,B0774002p
B0183008p,B0545004p
B0123006p,B0262001p
B0138007p,B0510005p
B0366008p,B0534009p
B0287003p,B0715004p
B0031002p,B0491007p
B0020005p,B0259005p
B0174005p,B0467001p
B0209006p,B0782007p
B0140002p,B0597002p
B0126005p,B0781002p
B0124006p,B0659006p
B0231008p,B0407007p
B0183004p,B0230008p
B0174003p,B0234004p
B0049006p,B0971006p
B0277002p,B0795005p
B0138009p,B0262001p
B0406010p,B1142007p
B0381010p,B0473007p
B0262007p,B0659007p
B0082003p,B0111003p
B0106005p,B0768005p
B0088006p,B0285005p
B0545007p,B0659005p
B0166002sc,B0206001sc
B0305006p,B0349003p
B0043009p,B0217009p
B0511001p,B0780010p
B0044002p,B0262001p
B0268003p,B0775006p
B0138007p,B1220001p
B0765009p,B0771006p
B0027002p,B0261004p
B0090002sc,B0305001sc
B0082001sc,B0538004sc
B0519001sc,B0803002sc
B0201007p,B1139006p
B0230010p,B0247001p
B0122002p,B0769008p
B0303003p,B0774002p
B0079004p,B0272006p
B0041011p,B0513003p
B0099009p,B0108009p
B0295005p,B1139007p
B0407007p,B0784007p
B0368010p,B0495005p
B0022004p,B0315004p
B0024001sc,B0137003sc
B0271002p,B0382001p
B0537006p,B0765008p
B0230002p,B0709010p
B0169002p,B0221002p
B0038001p,B0514005p
B0201008p,B0546001p
B0051005p,B0233006p
B0717001p,B0779007p
B0521001sc,B0653001sc
B0297004p,B0364008p
B0111001p,B0183003p
B0114006p,B0541007p
B0712002p,B0935003p
B0095002p,B0541002p
B0785007p,B0925007p
B0170003p,B0407003p
B0099001p,B0521001p
B0230008p,B0748004p
B0205005p,B0213003p
B0163004p,B0375002p
B0318001p,B1139006p
B0133005p,B1190002p
B0106008p,B0297008p
B0093004p,B0223003p
B0244004p,B0780008p
B0706001p,B0709011p
B0362001p,B0661005p
B0169003p,B0230002p
B0177001sc,B0776001sc
B0038005p,B0109009p
B0174006p,B0345004p
B0381006p,B0749005p
B0191007p,B0345004p
B0379001p,B0756001p
B0088007p,B0789004p
B0382007p,B0763007p
B0133001p,B1220008p
B0188001sc,B0351003sc
B0166002p,B0344008p
B0106001sc,B0521001sc
B0173007p,B0346009p
B0853007p,B1042007p
B0223010p,B0273007p
B0553006p,B0595010p
B0179002p,B0279004p
B0022009p,B0223009p
B0362006p,B0677009p
B0019004p,B0108009p
B0040007p,B0660001p
B0202002p,B0539006p
B0363003p,B0751008p
B0534008p,B0756001p
B0247003p,B0346005p
B0136002p,B0159004p
B0223009p,B0223010p
B0247001p,B0842004p
B0082005p,B0749009p
B0208012p,B0777002p
B0207002p,B0294003p
B0191002p,B0258004p
B0261010p,B0331009p
B0375012p,B0796001p
B0168001p,B0714005p
B0191001p,B1220006p
B0043002p,B0769009p
B0381004p,B1190002p
B0116002p,B0128007p
B0353003p,B0682006p
B0747004p,B0762004p
B0221007p,B0278006p
B0271004p,B0781006p
B0159001p,B0763001p
B0360002p,B0540010p
B0201002p,B0734006p
B0082006p,B0796004p
B0163002p,B0223001p
B0184006p,B0604006p
B1062001sc,B1064001sc
B0019001p,B0493002p
B0234004p,B0780004p
B0124003p,B0258007p
B0079006p,B0766003p
B0126001p,B0190006p
B0375011p,B0748005p
B0140007p,B0349004p
B0253004p,B0714004p
B0121003p,B0866005p
B0144011p,B0661002p
B0375009p,B0535005p
B0291003p,B0362008p
B0084002p,B0544004p
Statement_1,Statement_2
B0714004p,B0780002p
B0257008p,B0512006p
B0173007p,B0529002p
B0151002p,B0189005p
B0205002sc,B0379002sc
B0090001p,B0141003p
B0143007p,B0259005p
B0171001p,B0525001p
B0511005p,B0752008p
B0100002p,B0345001p
B0031001p,B0659002p
B0134004p,B0346004p
B0710003p,B0935003p
B0539005p,B0769006p
B0546004p,B0659006p
B0494001p,B0494003p
B0111004p,B0504003p
B0100001p,B0493005p
B0094005p,B0133003p
B0137003p,B0310003p
B0016010p,B0784002p
B0311007p,B0490001p
B0208003p,B0709011p
B0178003p,B0542004p
B0091008p,B0183004p
B0305005p,B0530007p
B0168005p,B0762003p
B0272003p,B0757005p
B0780002p,B0783004p
B0116008p,B0130003p
B0159007p,B0184001p
B0133001p,B0258006p
B0159003p,B0271001p
B0291010p,B0375010p
B0106008p,B0710003p
B0261002p,B0361004p
B0520001p,B0646001p
B0176003p,B0230005p
B0241002p,B0287007p
B0287001p,B0922010p
B0128004p,B0163003p
B0773009p,B0783004p
B0024004p,B0192007p
B0159006p,B0709010p
B0048006p,B0110003p
B0163004p,B1142004p
B0783004p,B1139004p
B0492003p,B0508008p
B0171001p,B0305009p
B0814010p,B1213002p
B0093004p,B0133006p
B0749009p,B0842004p
B0233005p,B0493005p
B0020007p,B0515009p
B0090001p,B0092002p
B0233009p,B0653002p
B0325009p,B0503003p
B0232006p,B0780003p
B0782002p,B0925006p
B0171002p,B0749004p
B0380008p,B0800003p
B0174005p,B0262006p
B0020002p,B0510005p
B0256006p,B1219002p
B0124002p,B0495005p
B0268005p,B0529006p
B0360007p,B0535008p
B0223011p,B0473002p
B0221006p,B0782006p
B0492004p,B0706001p
B0137002p,B0768002p
B0091008p,B0170005p
B0174007p,B0763005p
B0042006p,B0691012p
B0165001p,B0170005p
B0860003p,B0882004p
B0031002p,B0345009p
B0221002p,B0312006p
B0169006p,B0653001p
B0099009p,B0134003p
B0201001p,B0782006p
B0494004p,B0922004p
B0101008p,B0253001p
B0367002p,B1141002p
B0050005p,B0717006p
B0257005p,B0299007p
B0347002p,B0780010p
B0191002sc,B0306002sc
B0117007p,B0513003p
B0140002p,B0492009p
B0043002p,B0767002p
B0255002p,B0652009p
B0230003p,B0922004p
B0029004p,B0500004p
B0200003p,B0379001p
B0379001sc,B0533003sc
B0090003p,B0137002p
B0079001p,B0706003p
B0205001p,B0767007p
B0117002p,B0505003p
B0160001p,B0736004p
B0346009p,B0597002p
B0091008p,B0524009p
B0040007p,B0529004p
B0379002p,B0765006p
B0407008p,B0925006p
B0269004p,B0382001p
B0273007p,B0784002p
B0492005sc,B0510002sc
B0380003p,B0382008p
B0827001p,B0925007p
B0126006p,B0780002p
B0182005p,B0750005p
B0709011p,B0748006p
B0128006p,B0519004p
B0134006p,B0545001p
B0176005p,B0763009p
B0305001p,B0763006p
B0223008p,B0545006p
S1,S2
B0492004p,B0657004p
B0291010p,B0770006p
B0305001p,B0710008p
B0521005p,B0783002p
B0214004p,B0762004p
B0038005p,B0195001p
B0259004p,B0751005p
B0091005p,B0268009p
B0785008p,B1142004p
B0111004p,B0260001p
B0524002p,B0541002p
B0351009p,B0541005p
B0258002p,B0525002p
B0125006p,B0168003p
B0128006p,B0714004p
B0093007p,B0714007p
B0093007p,B0271002p
B0144011p,B0251002p
B0176002p,B0521002p
B0265003p,B0785007p
B0049006p,B0406003p
B0128008p,B0272003p
B0049006p,B0749007p
B0514005p,B0776006p
B0084007p,B0519004p
B0750005p,B0751003p
B0736004p,B0761007p
B0111001sc,B0827001sc
B0163001p,B0778005p
B0595001p,B0880007p
B0268004p,B0345006p
B0126001p,B0137005p
B0270004p,B0760001p
B0127002p,B0346009p
B0106001p,B0183008p
B0035003p,B0167006p
B0167005p,B0259005p
B0164004p,B0223002p
B0195004p,B0535002p
B0268009p,B0734005p
B0045004p,B0709010p
B0101010p,B0170005p
B0030006p,B0766003p
B0084009p,B0234004p
B0604002p,B0765004p
B0116004p,B0777006p
B0241009p,B0699009p
B0205002sc,B1196001sc
B0492003p,B0800006p
B0179002p,B0261009p
B0048006p,B0657004p
B0351003p,B0706005p
B0040001p,B0100002p
B0214001p,B0265002p
B0081001p,B0285005p
B0099002p,B0710007p
B0082004p,B0347009p
B0305008p,B0484010p
B0186006p,B0714005p
B0103007p,B0247001p
B0190002p,B0524002p
B0133003p,B0659002p
B0859004p,B0860006p
B0235007p,B0688010p
B0115002p,B0687007p
B0132007p,B0526004p
B0261010p,B0344008p
B0407005p,B0710008p
B0116002p,B1220008p
B0094004p,B0256006p
B0099001p,B0141002p
B0222009p,B0786002p
B0027004p,B0714007p
B0342001p,B0342005p
B0048001p,B0138004p
S0022948006p,B0137002p
S0023235007p,B0691012p
S0023525004p,B0360002p
S0017427002p,B0254008p
S0019198002sc,B1061001sc
S0053291007p,B0217007p
S0017884002p,B0494005p
S0023413007p,B0791002p
S0019340004p,B0347001p
S0020556008p,B0288002p
S0053171005p,B0866005p
S0020490001sc,B0178001sc
S0023307001sc,B0712001sc
S0018125004p,B0780002p
S0016791003p,B0895008p
S0024268005p,B0182005p
S0022601008p,B0775008p
S0001015010p,B0657008p
S0024348006p,B0270003p
S0020990008p,B0762003p
S0016681007p,B0285005p
S0022634001p,B0505007p
S0016414009p,B0118009p
S0023551003p,B0272001p
S0023222007p,B0161001p
S0004191003p,B0316007p
S0023394005p,B0179002p
S0020398002sc,B0659002sc
S0024004005p,B0513006p
S0022920004p,B0111003p
S0016480003p,B0125003p
S0023261010p,B0259003p
S0023216003p,B0505007p
S0000726007p,B0758002p
S0024247007p,B0381005p
S0020081003p,B0194013p
S0023715001sc,B0085001sc
S0023131004p,B1195007p
S0053171009p,B0778004p
S0024004005p,B1092002p
S0023617001p,B0182001p
S0019179004p,B0530008p
S0010925009p,B0763001p
S0020897004p,B0682006p
S0052964003sc,B0771001sc
S0024343001sc,B1200001sc
S0051998007p,B0504005p
S0020221002sc,B0787001sc
S0019665001sc,B0779002sc
S0023457001sc,B0032001sc
S0023560002sc,B0287001sc
S0023394005p,B0104004p
S0022669006p,B0090006p
S0017149001p,B0166005p
S0023251001p,B0228009p
S0023855004p,B0277002p
S0053569003p,B0346004p
S0010869002sc,B0287001sc
S0017427002p,B0300005p
S0052792008p,B0784002p
S0052529005p,B1162001p
S0051893003p,B0253001p
S0020456006p,B0239007p
S0080524003p,B0519002p
S0010712003sc,B0086002sc
S0051609002sc,B0971001sc
S0022919006p,B0164001p
S0010851005p,B0121010p
S0023484003p,B0257008p
S0052792009p,B0174006p
S0016562008p,B0033003p
S0018080006p,B0355004p
S0016607009p,B0754003p
S0023470001p,B0765004p
S0022997007p,B0503004p
S0051765001sc,B0404004sc
S0053085006p,B0153003p
S0001428003p,B0376004p
S0022660007p,B0192006p
S0021167002p,B0178004p
S0016480005sc,B0347001sc
S0080012002p,B0516001p
S0080524003p,B0295002p
S0070556001sc,B0803002sc
S0016420009p,B0784007p
S0023578001p,B0709009p
S0022660009p,B0491002p
S0020686007p,B0893007p
S0024402006p,B0156010p
S0017197005p,B0304005p
S0021058003p,B0240008p
S0051740004p,B0761005p
S0051901007p,B0255007p
S0018391006p,B0694007p
S0022660003sc,B0686002sc
S0023523001p,B0032006p
S0018353001p,B0457004p
